TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,Target
0.007207441957422414,1.0,36,0,0.8387096774193548,0,0.24482758620689654,0.0,0.33683185966818,1
0.1959402767282487,1.0,15,0,0.8064516129032258,0,0.45172413793103444,0.0,0.9180546275595326,0
0.0656799645621075,1.0,23,2,0.016129032258064557,3,0.1586206896551724,0.0,0.06863734931174438,0
0.0960158428225239,1.0,33,2,0.12903225806451613,3,0.05172413793103449,0.0,0.569197956003802,1
0.04788805795137713,1.0,28,0,0.0,3,0.5586206896551724,0.0,0.045737843102722775,0
0.003554212158323996,1.0,39,0,0.30645161290322587,0,0.44482758620689655,0.0,0.8883303734554748,1
0.08919925997342157,1.0,16,1,0.7903225806451613,2,0.9689655172413792,0.0,0.18115460779713835,0
0.05522578627823957,1.0,11,1,0.532258064516129,1,0.26206896551724135,0.0,0.6045605421617909,2
0.4250983662089272,1.0,26,0,0.5967741935483871,0,0.3793103448275862,0.0,0.06188385358620237,0
0.009130468770357246,1.0,0,2,0.5483870967741935,1,0.16896551724137931,0.0,0.5040264197666963,2
0.09889256585975975,1.0,22,2,0.04838709677419356,3,0.5620689655172414,0.0,0.09595919536134934,0
0.2575813638377153,1.0,23,1,0.09677419354838712,3,0.3482758620689655,0.0,0.10209024288923516,0
0.40727519086953123,1.0,22,0,0.12903225806451613,3,0.3896551724137931,0.0,0.005944850820811549,0
0.08689058550694426,1.0,21,2,0.0,3,0.4275862068965517,0.0,0.013355076448200345,0
0.2424316647992287,1.0,10,0,0.29032258064516125,1,0.4103448275862069,0.0,0.22614430312017286,2
0.2895171587148552,1.0,2,1,0.016129032258064557,3,0.5103448275862069,0.0,0.06923627084966197,2
0.2567527425280767,1.0,8,2,0.33870967741935487,1,0.7724137931034483,0.0,0.3366812890458528,2
0.00959949970034135,1.0,0,1,0.6612903225806451,2,0.3310344827586207,0.0,0.5274757776233234,2
0.037115980926075515,1.0,8,2,0.0,3,0.5482758620689655,0.0,0.4347283074114356,2
0.030778851916512494,1.0,20,1,0.8548387096774193,2,0.09655172413793102,0.0,0.3797633083592239,0
0.04456314980326758,1.0,19,1,0.32258064516129037,0,0.2862068965517241,0.0,0.607992073532239,0
0.027068296114860464,1.0,1,2,0.33870967741935487,1,0.3793103448275862,0.0,0.5964801428269905,2
0.07571201500898975,1.0,33,2,0.04838709677419356,3,0.296551724137931,0.0,0.12299132740103008,1
0.0037678818042056438,1.0,15,2,0.7580645161290323,2,0.9172413793103449,0.0,0.23751305729615496,0
0.020877087839070278,1.0,25,1,0.30645161290322587,1,0.29310344827586204,0.0,0.1737793360642184,0
0.06628449331630924,1.0,19,2,0.4193548387096775,0,0.6448275862068966,0.0,0.11231022387969408,0
0.029137243661568127,1.0,11,1,0.14516129032258068,3,0.9413793103448276,0.0,0.08405336115304833,2
0.014618130651171273,1.0,24,2,0.6612903225806451,0,0.034482758620689655,0.0,0.5534290442664186,0
0.03067462282096047,1.0,3,0,0.1774193548387097,0,0.8517241379310345,0.0,0.6535296039320443,2
0.4573312140083904,1.0,20,2,0.06451612903225812,3,0.4827586206896552,0.0,0.020014465534787865,0
0.13289209682882977,1.0,37,1,0.435483870967742,0,0.13793103448275862,0.0,0.9891024512090688,1
0.06488261198113453,1.0,39,1,0.5,1,0.1206896551724138,0.0,0.3806929475140387,1
0.04058159835318029,1.0,25,1,0.12903225806451613,3,0.46551724137931033,0.0,0.05373220208190774,0
0.17477655887641036,1.0,28,2,0.5967741935483871,2,0.7103448275862069,0.0,0.061716478206919,0
0.17104515725564792,1.0,35,0,0.7258064516129032,2,0.3758620689655172,0.0,0.28382629527705666,1
0.017593871329181544,1.0,30,2,0.32258064516129037,0,0.031034482758620682,0.0,0.9486776000656059,1
0.12567944341662976,1.0,5,2,0.6290322580645161,0,0.36551724137931035,0.0,0.8910399724670863,2
0.028694270005472026,1.0,40,0,0.016129032258064557,3,0.36896551724137927,0.0,0.009446962170475522,1
0.1584542825129635,1.0,21,1,0.14516129032258068,3,0.07931034482758621,0.0,0.05158119319151912,0
0.22670349428042838,1.0,6,1,0.903225806451613,2,0.27586206896551724,0.0,0.3073274117851088,2
0.08558772181254397,1.0,3,1,0.12903225806451613,3,0.22413793103448276,0.0,0.09464573555765579,2
0.2657737707481043,1.0,28,2,0.016129032258064557,3,0.3275862068965517,0.0,0.04573918748327928,0
0.3265706021835995,1.0,10,2,0.12903225806451613,3,0.4413793103448276,0.0,0.011041397510476086,2
0.01133491414128254,1.0,34,2,0.3709677419354839,1,0.5689655172413793,0.0,0.08293752529115922,1
0.2215285196862704,1.0,18,2,0.8225806451612903,2,0.38275862068965516,0.0,0.2558551134186656,0
0.22112202621361754,1.0,29,2,0.532258064516129,1,0.8758620689655173,0.0,0.34164743082153753,1
0.044385960340829145,1.0,41,1,0.7903225806451613,0,0.46551724137931033,0.0,0.9950869612562968,1
0.08819866065612214,1.0,36,1,0.16129032258064518,3,0.4551724137931034,0.0,0.05496029372026398,1
0.05439195351382338,1.0,29,0,0.7096774193548387,2,0.27586206896551724,0.0,0.29418609184539085,1
0.16504156135185136,1.0,23,1,0.11290322580645162,3,0.2517241379310345,0.0,0.08219408284341866,0
0.03141464939937984,1.0,8,1,0.6290322580645161,2,0.14482758620689656,0.0,0.23080863146092492,2
0.15233082314928212,1.0,9,1,0.8064516129032258,2,0.17586206896551726,0.0,0.3049807955237505,2
0.20129765223962268,1.0,16,1,0.4838709677419355,1,0.06206896551724138,0.0,0.3716782036924756,0
0.058269275868358644,1.0,18,1,0.08064516129032262,3,0.1413793103448276,0.0,0.055727935018021424,0
0.2961461291919639,1.0,16,0,0.4516129032258065,1,0.489655172413793,0.0,0.3628926767557946,0
0.1820778070198296,1.0,19,2,0.4838709677419355,1,0.7448275862068966,0.0,0.4403095032917158,0
0.31328139250071657,1.0,30,1,0.6129032258064516,1,0.32413793103448274,0.0,0.5617521042916662,1
0.002871511582458243,1.0,5,2,0.5161290322580645,0,0.393103448275862,0.0,0.9334619009272195,2
0.10478672121322667,1.0,26,1,0.3870967741935484,1,0.6068965517241379,0.0,0.16695996569140822,0
0.1553847356489564,1.0,16,1,0.6129032258064516,2,0.7413793103448276,0.0,0.1958426375671014,0
0.2714125648174688,1.0,0,1,0.11290322580645162,3,0.4068965517241379,0.0,0.12436662871032231,2
0.06098444380748886,1.0,2,2,0.6774193548387097,1,0.020689655172413793,0.0,0.2396035690615014,2
0.09842353492977564,1.0,16,3,0.22580645161290325,1,0.32068965517241377,0.0,0.05886773580771057,0
0.06946348073064595,1.0,1,0,0.4193548387096775,1,0.7241379310344828,0.0,0.25173727577412797,2
0.07449774604580868,1.0,9,2,0.27419354838709675,1,0.43103448275862066,0.0,0.4217032763898542,2
0.012773275659900461,1.0,4,0,0.7096774193548387,2,0.15517241379310343,0.0,0.38750156284239695,2
0.12177085233342885,1.0,17,2,0.12903225806451613,3,0.9310344827586207,0.0,0.4326465341197063,0
0.12083279047346066,1.0,43,0,0.30645161290322587,1,0.1413793103448276,0.0,0.44288063110600845,1
0.04756494775516586,1.0,25,1,0.4193548387096775,0,0.20344827586206898,0.0,0.979703886738627,0
0.0625530916955468,1.0,24,1,0.016129032258064557,3,0.23103448275862065,0.0,0.08477260475077203,0
0.0906741016754827,1.0,39,2,0.5161290322580645,0,0.19655172413793104,0.0,0.7008988528400713,1
0.09560413789509341,1.0,10,0,0.32258064516129037,1,0.3172413793103448,0.0,0.030333930686427268,2
0.17986293873934908,1.0,31,3,0.6451612903225806,1,0.24137931034482757,0.0,0.42688855219624733,1
0.13531542330041432,1.0,10,2,0.5,0,0.5517241379310345,0.0,0.475615625466332,2
0.08049091904005003,1.0,36,2,0.25806451612903225,0,0.506896551724138,0.0,0.0956170505097219,1
0.012663835109570837,1.0,23,1,0.7419354838709677,0,0.20344827586206898,0.0,0.6566411727300472,0
0.2959116137269719,1.0,42,0,0.4838709677419355,0,0.3620689655172414,0.0,0.7028125785622389,1
0.004872710217057092,1.0,36,2,0.6451612903225806,0,0.5827586206896552,0.0,0.8592379782129688,1
0.20465382911639785,1.0,18,2,0.09677419354838712,3,0.3103448275862069,0.0,0.046408016810134484,0
0.37348932954634284,1.0,25,2,0.6774193548387097,2,0.08275862068965517,0.0,0.266373546892666,0
0.12007191807593089,1.0,15,1,0.04838709677419356,3,0.43103448275862066,0.0,0.03473879357977622,0
0.3355707845845167,1.0,35,0,0.1774193548387097,1,0.21379310344827585,0.0,0.0700603761307921,1
